week_window_start,week_window_end,event_id,event_date,home_team_id,home_team,away_team_id,away_team,team_id,team_name,player_id,player_name,position,college,hometown,years_experience
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4432647,Jordan Williams,OT,Georgia Tech,"{'city': 'Gainesville', 'state': 'GA', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4035020,Charlie Woerner,TE,Georgia,"{'city': 'Tiger', 'state': 'GA', 'country': 'USA'}",6
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4401823,Dee Alford,CB,Tusculum,"{'city': 'Griffin', 'state': 'GA', 'country': 'USA'}",4
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4247807,Troy Andersen,LB,Montana State,"{'city': 'Dillon', 'state': 'MT', 'country': 'USA'}",4
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4578889,Simeon Barrow Jr.,DE,Miami,"{'city': 'Grovetown', 'state': 'GA', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3919512,Jessie Bates III,S,Wake Forest,"{'city': 'Fort Wayne', 'state': 'IN', 'country': 'USA'}",8
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4428872,JD Bertrand,LB,Notre Dame,"{'city': 'Alpharetta', 'state': 'GA', 'country': 'USA'}",2
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3928920,Henry Black,S,Baylor,"{'city': 'Shreveport', 'state': 'LA', 'country': 'USA'}",3
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4431194,Billy Bowman Jr.,S,Oklahoma,"{'city': 'Denton', 'state': 'TX', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4689989,Natrone Brooks,CB,Southern Miss,"{'city': 'Starkville', 'state': 'MS', 'country': 'USA'}",2
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4429324,Cobee Bryant,CB,Kansas,"{'city': 'Evergreen', 'state': 'AL', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4037626,Divine Deablo,LB,Virginia Tech,"{'city': 'Winston-Salem', 'state': 'NC', 'country': 'USA'}",5
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4427090,Brandon Dorlus,DT,Oregon,"{'city': 'Fort Lauderdale', 'state': 'FL', 'country': 'USA'}",2
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4257591,Arnold Ebiketie,LB,Penn State,"{'city': 'Silver Spring', 'state': 'MD', 'country': 'USA'}",4
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3124890,Kaden Elliss,LB,Idaho,"{'city': 'Salt Lake City', 'state': 'UT', 'country': 'USA'}",7
