player,player_id,team,receptions,rec_yards,rec_tds,ypr,headshot,position
Kyren Williams,4430737,LAR,1.0,3.0,0.0,3.0,https://a.espncdn.com/i/headshots/nfl/players/full/4430737.png,WR
Colby Parkinson,4242557,LAR,2.0,-6.0,0.0,-3.0,https://a.espncdn.com/i/headshots/nfl/players/full/4242557.png,WR
Zay Flowers,4429615,BAL,7.0,143.0,1.0,20.43,https://a.espncdn.com/i/headshots/nfl/players/full/4429615.png,WR
DeAndre Hopkins,15795,BAL,2.0,35.0,1.0,17.5,https://a.espncdn.com/i/headshots/nfl/players/full/15795.png,WR
Derrick Henry,3043078,BAL,1.0,13.0,0.0,13.0,https://a.espncdn.com/i/headshots/nfl/players/full/3043078.png,WR
Rashod Bateman,4360939,BAL,2.0,10.0,0.0,5.0,https://a.espncdn.com/i/headshots/nfl/players/full/4360939.png,WR
Mark Andrews,3116365,BAL,1.0,5.0,0.0,5.0,https://a.espncdn.com/i/headshots/nfl/players/full/3116365.png,WR
Justice Hill,4038441,BAL,1.0,3.0,0.0,3.0,https://a.espncdn.com/i/headshots/nfl/players/full/4038441.png,WR
Keon Coleman,4635008,BUF,8.0,112.0,1.0,14.0,https://a.espncdn.com/i/headshots/nfl/players/full/4635008.png,WR
Khalil Shakir,4373678,BUF,6.0,64.0,0.0,10.67,https://a.espncdn.com/i/headshots/nfl/players/full/4373678.png,WR
Joshua Palmer,4242433,BUF,5.0,61.0,0.0,12.2,https://a.espncdn.com/i/headshots/nfl/players/full/4242433.png,WR
James Cook,4379399,BUF,5.0,58.0,0.0,11.6,https://a.espncdn.com/i/headshots/nfl/players/full/4379399.png,WR
Dalton Kincaid,4385690,BUF,4.0,48.0,1.0,12.0,https://a.espncdn.com/i/headshots/nfl/players/full/4385690.png,WR
Jackson Hawes,4573699,BUF,1.0,29.0,0.0,29.0,https://a.espncdn.com/i/headshots/nfl/players/full/4573699.png,WR
Dawson Knox,3930086,BUF,2.0,20.0,0.0,10.0,https://a.espncdn.com/i/headshots/nfl/players/full/3930086.png,WR
Elijah Moore,4372414,BUF,1.0,3.0,0.0,3.0,https://a.espncdn.com/i/headshots/nfl/players/full/4372414.png,WR
Ray Davis,4429501,BUF,1.0,-1.0,0.0,-1.0,https://a.espncdn.com/i/headshots/nfl/players/full/4429501.png,WR
Aaron Jones Sr.,3042519,MIN,3.0,44.0,1.0,14.67,https://a.espncdn.com/i/headshots/nfl/players/full/3042519.png,WR
Justin Jefferson,4262921,MIN,4.0,44.0,1.0,11.0,https://a.espncdn.com/i/headshots/nfl/players/full/4262921.png,WR
Jalen Nailor,4382466,MIN,1.0,28.0,0.0,28.0,https://a.espncdn.com/i/headshots/nfl/players/full/4382466.png,WR
T.J. Hockenson,4036133,MIN,3.0,15.0,0.0,5.0,https://a.espncdn.com/i/headshots/nfl/players/full/4036133.png,WR
Jordan Mason,4360569,MIN,1.0,7.0,0.0,7.0,https://a.espncdn.com/i/headshots/nfl/players/full/4360569.png,WR
Josh Oliver,3921690,MIN,1.0,5.0,0.0,5.0,https://a.espncdn.com/i/headshots/nfl/players/full/3921690.png,WR
DJ Moore,3915416,CHI,3.0,68.0,0.0,22.67,https://a.espncdn.com/i/headshots/nfl/players/full/3915416.png,WR
Olamide Zaccheaus,3917914,CHI,4.0,42.0,0.0,10.5,https://a.espncdn.com/i/headshots/nfl/players/full/3917914.png,WR
Rome Odunze,4431299,CHI,6.0,37.0,1.0,6.17,https://a.espncdn.com/i/headshots/nfl/players/full/4431299.png,WR
Cole Kmet,4258595,CHI,1.0,31.0,0.0,31.0,https://a.espncdn.com/i/headshots/nfl/players/full/4258595.png,WR
Colston Loveland,4723086,CHI,2.0,12.0,0.0,6.0,https://a.espncdn.com/i/headshots/nfl/players/full/4723086.png,WR
D'Andre Swift,4259545,CHI,3.0,12.0,0.0,4.0,https://a.espncdn.com/i/headshots/nfl/players/full/4259545.png,WR
Kyle Monangai,4608686,CHI,1.0,11.0,0.0,11.0,https://a.espncdn.com/i/headshots/nfl/players/full/4608686.png,WR
Luther Burden III,4685278,CHI,1.0,-3.0,0.0,-3.0,https://a.espncdn.com/i/headshots/nfl/players/full/4685278.png,WR
